date,home_team,away_team,home_score,away_score,tournament,country,neutral,is_neutral,is_home_host,home_n_rows_used,home_n_unique_players,home_gls_90_calc,home_ast_90_calc,home_xg_90_calc,home_xag_90_calc,home_prgp_90_calc,home_prgc_90_calc,home_prgr_90_calc,away_n_rows_used,away_n_unique_players,away_gls_90_calc,away_ast_90_calc,away_xg_90_calc,away_xag_90_calc,away_prgp_90_calc,away_prgc_90_calc,away_prgr_90_calc,home_has_player_features,away_has_player_features
1872-11-30,Scotland,England,0,0,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1873-03-08,England,Scotland,4,2,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1874-03-07,Scotland,England,2,1,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1875-03-06,England,Scotland,2,2,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1876-03-04,Scotland,England,3,0,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1876-03-25,Scotland,Wales,4,0,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1877-03-03,England,Scotland,1,3,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1877-03-05,Wales,Scotland,0,2,Friendly,Wales,False,0,1,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1878-03-02,Scotland,England,7,2,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1878-03-23,Scotland,Wales,9,0,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1879-01-18,England,Wales,2,1,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1879-04-05,England,Scotland,5,4,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1879-04-07,Wales,Scotland,0,3,Friendly,Wales,False,0,1,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1880-03-13,Scotland,England,5,4,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1880-03-15,Wales,England,2,3,Friendly,Wales,False,0,1,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1880-03-27,Scotland,Wales,5,1,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1881-02-26,England,Wales,0,1,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1881-03-12,England,Scotland,1,6,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1881-03-14,Wales,Scotland,1,5,Friendly,Wales,False,0,1,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
1882-03-11,Scotland,England,5,1,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1882-03-13,Wales,England,5,3,Friendly,Wales,False,0,1,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
1882-03-25,Scotland,Wales,5,0,Friendly,Scotland,False,0,1,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1883-02-03,England,Wales,5,0,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
1883-03-10,England,Scotland,2,3,Friendly,England,False,0,1,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,42.0,21.0,0.13474292796843357,0.10217414675918718,0.13906672427943179,0.10742643022838787,4.167476992148448,1.5497978873795113,3.4257669316073844,1,1
