model,year,n,mae_home,mae_away,mae_total
HISTORY,2014,64,0.9250369513133709,0.701459565256533,1.3297281527552904
HISTORY,2018,64,0.8460851561934133,0.6733322962110779,1.1936021480254457
HISTORY,2022,64,1.0110031926562772,0.688283445550161,1.4457222820321514
PLAYER,2014,39,0.9565449346756615,0.7526089269650301,1.369177460231993
PLAYER,2018,46,0.8832091374484503,0.6867600654978563,1.2991051085670953
PLAYER,2022,53,0.9601929312437765,0.6077219448851884,1.372130353699185
